Unnamed: 0,score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day
6450,Amazing,Tom Clancy's Splinter Cell Pandora Tomorrow 3D,/games/splinter-cell-pandora-tomorrow/cell-715721,Wireless,9.0,Action,Y,2004,12,8
6528,Great,Asphalt: Urban GT 3D,/games/asphalt-urban-gt/cell-728042,Wireless,8.0,Racing,Y,2005,2,2
6965,Great,Tom Clancy's Splinter Cell Chaos Theory 3D,/games/tom-clancys-splinter-cell-chaos-theory/cell-761157,Wireless,8.0,Action,N,2005,7,21
6976,Great,Harvest Moon: More Friends of Mineral Town,/games/harvest-moon-more-friends-of-mineral-town/gba-620295,Game Boy Advance,8.5,RPG,Y,2005,8,15
7107,Good,Duke Nukem Mobile 3D,/games/duke-nukem-3d/cell-751834,Wireless,7.8,Shooter,N,2005,9,20
7597,Good,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",/games/the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe/cell-788418,Wireless,7.2,"Strategy, RPG",N,2005,12,9
7658,Bad,Fight Club 3D,/games/fight-club/cell-757001,Wireless,4.1,Fighting,N,2006,2,2
7726,Good,Marc Ecko's Getting Up: Contents Under Pressure,/games/atari-hits-2006/ps2-681791,PlayStation 2,7.0,"Action, Adventure",N,2006,2,15
8087,Okay,The Fast and the Furious: Tokyo Drift 3D,/games/the-fast-and-the-furious/cell-820564,Wireless,6.7,Racing,N,2006,6,15
9037,Good,Grand Theft Auto: Vice City Stories,/games/grand-theft-auto-vice-city-stories/ps2-881201,PlayStation 2,7.5,Action,N,2007,3,6
9278,Great,Rollercoaster Rush 3D,/games/3d-rollercoaster-rush/cell-886870,Wireless,8.3,Puzzle,Y,2007,5,14
9766,Good,Ghouls 'N Ghosts,/games/ghouls-n-ghosts/wii-959528,Wii,7.5,Action,N,2007,9,14
10194,Okay,Metal Gear Solid: Portable Ops +,/games/metal-gear-solid-portable-ops-plus/psp-950630,PlayStation Portable,6.5,Action,N,2007,11,15
10294,Good,Super Air Zonk,/games/super-air-zonk/wii-14219677,Wii,7.0,Shooter,N,2007,12,3
10926,Okay,Star Soldier R,/games/star-soldier-r/wii-14209913,Wii,6.0,Shooter,N,2008,5,19
11162,Good,Guitar Hero: Aerosmith (Game & Guitar Controller),/games/guitar-hero-aerosmith/ps2-14246449,PlayStation 2,7.0,Music,N,2008,7,3
12233,Mediocre,TV Show King Party,/games/tv-show-king-party/wii-14285569,Wii,5.8,Trivia,N,2008,12,11
13884,Bad,Are You Smarter Than A 5th Grader? Game Time,/games/are-you-smarter-than-a-5th-grader-game-time/nds-18964,Nintendo DS,4.0,Trivia,N,2009,11,12
13967,Bad,Resident Evil Archives: Resident Evil Zero,/games/resident-evil-zero/wii-14238042,Wii,4.5,"Action, Adventure",N,2009,12,11
14735,Bad,Pong Toss Pro: Frat Party Games,/games/pong-toss-pro-frat-party-games/wii-71111,Wii,4.0,Party,N,2010,7,19
16374,Amazing,Super Mario 3D Land,/games/super-mario-3d-land/3ds-99437,Nintendo 3DS,9.5,Platformer,Y,2011,11,9
16788,Okay,"Freakyforms: Your Creations, Alive!",/games/freakyforms-your-creations-alive-139656/3ds-110859,Nintendo 3DS,6.5,Productivity,N,2012,7,25
